Topic_ID,category
1,Personal Experiences
2,Hobby
3,School life
4,History and Culture
5,politics and government
6,social issues
7,Education
8,Sport and Health
9,Imaginary
10,Relations
11,Future
12,Environment
13,Culture and Traditions
14,Travel and Experience
15,Technology and Media
16,Daily Life
17,Life/Time management
18,Social Media
19,Tolerance
20,Development
